%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
6A19 ; [.4F9F.0000.0007.6A19] % òÀ
719B ; [.4FA0.0000.0007.719B] % üœ
8198 ; [.4FA1.0000.0007.8198] % ±Ï
9E83 ; [.4FA2.0000.0007.9E83] % ˚Å
762D ; [.4FA3.0000.0007.762D] % Ò¶
5126 ; [.4FA4.0000.0007.5126] % Éö
700C ; [.4FA5.0000.0007.700C] % ûd
85E8 ; [.4FA6.0000.0007.85E8] % Àë
8B24 ; [.4FA7.0000.0007.8B24] % ÷Ä
7202 ; [.4FA8.0000.0007.7202] % †g
7F86 ; [.4FA9.0000.0007.7F86] % ¡`
81D5 ; [.4FAA.0000.0007.81D5] % ≈A
8D06 ; [.4FAB.0000.0007.8D06] % Ÿô
93E2 ; [.4FAC.0000.0007.93E2] % ÁS
7A6E ; [.4FAD.0000.0007.7A6E] % ∑Ö
98C6 ; [.4FAE.0000.0007.98C6] % Ôj
9463 ; [.4FAF.0000.0007.9463] % Ës
9A6B ; [.4FB0.0000.0007.9A6B] % ÛQ
8868 ; [.4FB1.0000.0007.8868] % ±Ì
4FF5 ; [.4FB2.0000.0007.4FF5] % Çl
5A4A ; [.4FB3.0000.0007.5A4A] % Êª
88F1 ; [.4FB4.0000.0007.88F1] % Ò—
8AD8 ; [.4FB5.0000.0007.8AD8] % ’ï
893E ; [.4FB6.0000.0007.893E] % “F
9336 ; [.4FB7.0000.0007.9336] % Âl
6AA6 ; [.4FB8.0000.0007.6AA6] % ô~
9C3E ; [.4FB9.0000.0007.9C3E] % ˜B
67C9 ; [.4FBA.0000.0007.67C9] % ñØ
782D ; [.4FBB.0000.0007.782D] % Ìæ
7335 ; [.4FBC.0000.0007.7335] % ™p
6944 ; [.4FBD.0000.0007.6944] % óË
7178 ; [.4FBE.0000.0007.7178] % Ï‘
7502 ; [.4FBF.0000.0007.7502] % ÆK
7A28 ; [.4FC0.0000.0007.7A28] % ∑H
7BAF ; [.4FC1.0000.0007.7BAF] % πè
7DE8 ; [.4FC2.0000.0007.7DE8] % æé
8759 ; [.4FC3.0000.0007.8759] % Ú˘
908A ; [.4FC4.0000.0007.908A] % ﬂÖ
97AD ; [.4FC5.0000.0007.97AD] % ±ﬁ
7C69 ; [.4FC6.0000.0007.7C69] % ªe
6241 ; [.4FC7.0000.0007.6241] % ±‚
7A86 ; [.4FC8.0000.0007.7A86] % Òπ
533E ; [.4FC9.0000.0007.533E] % ÿ“
8CB6 ; [.4FCA.0000.0007.8CB6] % ŸH
60FC ; [.4FCB.0000.0007.60FC] % ê∆
8439 ; [.4FCC.0000.0007.8439] % »q
78A5 ; [.4FCD.0000.0007.78A5] % Ì‹
890A ; [.4FCE.0000.0007.890A] % Ò€
535E ; [.4FCF.0000.0007.535E] % ±Â
5F01 ; [.4FD0.0000.0007.5F01] % €Õ
5FED ; [.4FD1.0000.0007.5FED] % ‚Ì
6283 ; [.4FD2.0000.0007.6283] % í\
6C73 ; [.4FD3.0000.0007.6C73] % õM
6C74 ; [.4FD4.0000.0007.6C74] % „Í
91C6 ; [.4FD5.0000.0007.91C6] % ·ä
